"Page","PageFile","RefFile","Line","Match"
"AnalisePleitoPage","src\pages\AnalisePleitoPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","6","import AnalisePleitoPage from ""./pages/AnalisePleitoPage"";"
"AnalisePleitoPage","src\pages\AnalisePleitoPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","68","<AnalisePleitoPage />"
"BackfillHistorico","src\pages\BackfillHistorico.tsx","(no matches)","",""
"ConfiguracoesPage","src\pages\ConfiguracoesPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","9","import ConfiguracoesPage from ""./pages/ConfiguracoesPage"";"
"ConfiguracoesPage","src\pages\ConfiguracoesPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","112","<ConfiguracoesPage />"
"DashboardPage","src\pages\DashboardPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","4","import DashboardPage from ""./pages/DashboardPage"";"
"DashboardPage","src\pages\DashboardPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","34","<DashboardPage />"
"HistoricoPautasPage","src\pages\HistoricoPautasPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","8","import HistoricoPautasPage from ""./pages/HistoricoPautasPage"";"
"HistoricoPautasPage","src\pages\HistoricoPautasPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","90","<HistoricoPautasPage />"
"LoginPage","src\pages\LoginPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","11","import LoginPage from ""./pages/LoginPage"";"
"LoginPage","src\pages\LoginPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","27","<Route path=""/login"" element={<LoginPage />} />"
"LoginPage","src\pages\LoginPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","27","<Route path=""/login"" element={<LoginPage />} />"
"MinhasTarefasPage","src\pages\MinhasTarefasPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","5","import MinhasTarefasPage from ""./pages/MinhasTarefasPage"";"
"MinhasTarefasPage","src\pages\MinhasTarefasPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","57","<MinhasTarefasPage />"
"NcmSearchPage","src\pages\NcmSearchPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","14","import NcmSearchPage from ""./pages/NcmSearchPage""; // ✅ NOVO"
"NcmSearchPage","src\pages\NcmSearchPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","102","<NcmSearchPage />"
"PautaCatPage","src\pages\PautaCatPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","13","import PautaCatPage from ""./pages/PautaCatPage""; // ✅ sua página robusta de extração"
"PautaCatPage","src\pages\PautaCatPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","46","<PautaCatPage />"
"RelatorioConsolidadoPage","src\pages\RelatorioConsolidadoPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","10","import RelatorioConsolidadoPage from ""./pages/RelatorioConsolidadoPage"";"
"RelatorioConsolidadoPage","src\pages\RelatorioConsolidadoPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","79","<RelatorioConsolidadoPage />"
"SyncHistoricoRetificadorPage","src\pages\SyncHistoricoRetificadorPage.tsx","(no matches)","",""
"VisualizarPautaPage","src\pages\VisualizarPautaPage.tsx","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\App.tsx","7","// import VisualizarPautaPage from ""./pages/VisualizarPautaPage""; // ❌ não usamos mais"
