Page,File,Line,Match
AnalisePleitoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\AnalisePleitoPage.tsx","src\App.tsx","AnalisePleitoPage" 
AnalisePleitoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\AnalisePleitoPage.tsx","src\App.tsx","AnalisePleitoPage" 
AnalisePleitoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\AnalisePleitoPage.tsx","src\App.tsx","pages/AnalisePleitoPage" 
ConfiguracoesPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\ConfiguracoesPage.tsx","src\App.tsx","ConfiguracoesPage" 
ConfiguracoesPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\ConfiguracoesPage.tsx","src\App.tsx","ConfiguracoesPage" 
ConfiguracoesPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\ConfiguracoesPage.tsx","src\App.tsx","pages/ConfiguracoesPage" 
DashboardPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","src\App.tsx","DashboardPage" 
DashboardPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","src\App.tsx","DashboardPage" 
DashboardPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","src\types.ts","DashboardPage" 
DashboardPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","src\App.tsx","pages/DashboardPage" 
HistoricoPautasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\HistoricoPautasPage.tsx","src\App.tsx","HistoricoPautasPage" 
HistoricoPautasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\HistoricoPautasPage.tsx","src\App.tsx","HistoricoPautasPage" 
HistoricoPautasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\HistoricoPautasPage.tsx","src\App.tsx","pages/HistoricoPautasPage" 
LoginPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\LoginPage.tsx","src\App.tsx","LoginPage" 
LoginPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\LoginPage.tsx","src\App.tsx","LoginPage" 
LoginPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\LoginPage.tsx","src\App.tsx","pages/LoginPage" 
MinhasTarefasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\MinhasTarefasPage.tsx","src\App.tsx","MinhasTarefasPage" 
MinhasTarefasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\MinhasTarefasPage.tsx","src\App.tsx","MinhasTarefasPage" 
MinhasTarefasPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\MinhasTarefasPage.tsx","src\App.tsx","pages/MinhasTarefasPage" 
NcmSearchPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\NcmSearchPage.tsx","src\App.tsx","NcmSearchPage" 
NcmSearchPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\NcmSearchPage.tsx","src\App.tsx","NcmSearchPage" 
NcmSearchPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\NcmSearchPage.tsx","src\App.tsx","pages/NcmSearchPage" 
PautaCatPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","src\App.tsx","PautaCatPage" 
PautaCatPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","src\App.tsx","PautaCatPage" 
PautaCatPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","src\services\Legacy\pautaStore.ts","PautaCatPage" 
PautaCatPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","src\App.tsx","pages/PautaCatPage" 
RelatorioConsolidadoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\RelatorioConsolidadoPage.tsx","src\App.tsx","RelatorioConsolidadoPage" 
RelatorioConsolidadoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\RelatorioConsolidadoPage.tsx","src\App.tsx","RelatorioConsolidadoPage" 
RelatorioConsolidadoPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\RelatorioConsolidadoPage.tsx","src\App.tsx","pages/RelatorioConsolidadoPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\App.tsx","VisualizarPautaPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\pages\Legacy\VisualizarPautaPage.tsx","VisualizarPautaPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\pages\Legacy\VisualizarPautaPage.tsx","VisualizarPautaPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\pages\Legacy\VisualizarPautaPage.tsx","VisualizarPautaPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\App.tsx","pages/VisualizarPautaPage" 
VisualizarPautaPage,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\Legacy\VisualizarPautaPage.tsx","src\pages\Legacy\VisualizarPautaPage.tsx","pages/VisualizarPautaPage" 
