Service,File,Line,Match
adminPautasService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\components\ExcluirPautaButton.tsx","4","/services/adminPautasService" 
adminPautasService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\adminPautasService.ts","1","/services/adminPautasService" 
analisePleitoService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\Legacy\analisePleitoService.ts","1","/services/analisePleitoService" 
atribuicoesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","23","/services/atribuicoesService" 
atribuicoesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\MinhasTarefasPage.tsx","25","/services/atribuicoesService" 
atribuicoesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","19","/services/atribuicoesService" 
atribuicoesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\atribuicoesService.ts","1","/services/atribuicoesService" 
authProfiles,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\Legacy\authProfiles.ts","1","/services/authProfiles" 
historicoAnalisesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\AnalisePleitoPage.tsx","8","/services/historicoAnalisesService" 
historicoAnalisesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\BackfillHistorico.tsx","4","/services/historicoAnalisesService" 
historicoAnalisesService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\historicoAnalisesService.ts","1","/services/historicoAnalisesService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\hooks\useNcmSetCgim.ts","3","/services/ncmsService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\ConfiguracoesPage.tsx","10","/services/ncmsService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","22","/services/ncmsService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\HistoricoPautasPage.tsx","5","/services/ncmsService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","14","/services/ncmsService" 
ncmsService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\ncmsService.ts","1","/services/ncmsService" 
pautaService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\components\pauta\PleitoActions.tsx","3","/services/pautaService" 
pautaService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","12","/services/pautaService" 
pautaService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\pautaService.ts","1","/services/pautaService" 
pautaStore,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\Legacy\pautaStore.ts","1","/services/pautaStore" 
pautaVersioningCompat,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","36","/services/pautaVersioningCompat" 
pautaVersioningCompat,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\pautaVersioningCompat.ts","1","/services/pautaVersioningCompat" 
regraProcesso,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\Legacy\regraProcesso.ts","1","/services/regraProcesso" 
relatorioExport,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\RelatorioConsolidadoPage.tsx","13","/services/relatorioExport" 
relatorioExport,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\relatorioExport.ts","1","/services/relatorioExport" 
retificacaoHistoricoSync,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\SyncHistoricoRetificadorPage.tsx","5","/services/retificacaoHistoricoSync" 
retificacaoHistoricoSync,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\retificacaoHistoricoSync.ts","1","/services/retificacaoHistoricoSync" 
usuariosService,"C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\Legacy\usuariosService.ts","1","/services/usuariosService" 
